movie_id,genres_id
246,0
246,1
246,4
247,0
247,1
247,13
247,2
248,19
248,13
248,15
249,1
249,7
249,8
249,2
250,0
250,11
250,3
250,4
251,0
251,1
251,13
251,14
251,18
252,1
252,7
252,8
252,2
253,6
253,8
253,2
253,9
253,10
254,1
254,13
254,3
255,7
256,7
256,10
257,0
257,16
257,4
258,0
258,13
258,10
259,0
259,11
259,3
259,4
260,1
260,8
260,2
260,11
261,0
261,3
262,19
262,16
262,13
262,14
262,10
263,19
263,16
263,13
264,0
264,7
264,4
265,0
265,16
265,4
266,7
266,10
267,0
267,7
267,16
268,0
268,13
268,11
268,4
269,13
269,12
270,6
270,13
270,8
270,9
270,10
271,1
271,6
271,7
271,8
271,2
272,0
272,1
272,4
273,0
273,1
273,7
273,8
273,11
274,0
274,1
274,8
274,2
275,1
275,13
275,8
275,2
276,1
276,6
276,8
276,2
277,0
277,2
277,17
277,11
278,1
278,13
278,4
279,19
279,7
279,16
279,13
280,0
280,1
280,2
281,0
281,3
281,18
282,13
282,3
283,0
283,1
283,6
283,8
283,2
284,0
284,16
284,2
284,10
284,4
285,1
285,6
285,8
285,3
286,1
286,7
286,3
287,0
287,1
287,4
288,7
288,8
288,2
289,0
289,1
289,19
289,13
289,14
289,4
290,0
290,7
290,3
291,0
291,13
291,4
291,18
292,1
292,6
292,7
292,8
293,13
293,11
293,4
294,0
294,1
294,2
294,4
295,16
295,13
296,13
296,14
296,10
296,18
297,6
297,7
297,8
297,15
298,7
298,3
298,4
299,13
299,14
299,18
300,7
301,0
301,1
301,3
302,7
302,13
302,10
303,1
303,6
303,7
303,8
303,10
304,1
304,6
304,7
304,8
305,1
305,6
305,7
305,8
306,0
306,1
306,13
306,2
307,0
307,1
307,13
307,2
308,0
308,1
308,2
309,0
309,1
309,2
309,4
310,13
310,11
310,10
310,3
310,4
311,0
311,1
311,3
311,4
312,0
312,13
312,3
312,4
313,1
313,8
313,2
314,0
314,4
315,0
315,1
315,6
315,8
316,0
316,1
316,7
317,1
317,8
317,2
318,1
318,7
318,8
318,11
318,3
319,1
319,6
319,7
319,8
319,2
320,0
320,4
321,0
321,7
321,16
321,4
322,13
322,2
322,17
322,11
322,4
323,6
323,7
323,8
323,3
324,0
324,1
324,6
324,7
324,8
325,1
325,7
325,13
325,2
325,10
326,0
326,1
326,7
326,16
326,4
327,16
327,13
327,4
328,1
328,6
328,8
328,2
328,9
328,18
329,0
329,7
330,16
330,13
330,11
330,4
331,0
331,1
331,4
332,0
332,1
332,16
332,11
332,4
333,0
333,1
333,6
333,8
333,2
333,3
334,1
334,6
334,7
334,8
334,2
334,20
335,13
335,14
335,4
335,18
336,0
336,7
337,0
337,6
337,7
337,3
338,1
338,13
338,3
339,7
339,8
339,2
339,17
339,11
340,13
340,11
340,3
340,4
341,0
341,17
341,3
341,4
342,16
342,11
342,4
343,1
343,8
343,2
344,0
344,1
344,2
345,0
345,1
345,7
345,16
345,11
345,4
346,0
346,1
346,10
346,3
346,4
347,0
347,16
347,4
348,1
348,3
348,4
349,1
349,6
349,7
349,8
349,9
350,7
350,13
350,3
351,0
351,13
351,3
351,4
352,0
352,16
352,13
352,4
353,13
353,14
353,4
353,18
354,0
354,1
354,3
355,19
355,13
355,15
356,0
356,8
356,2
356,9
357,13
357,14
357,15
358,0
358,1
358,13
358,4
359,1
359,13
359,10
360,6
360,7
360,8
360,20
360,10
361,0
361,11
361,4
362,0
362,1
362,13
362,4
363,16
363,4
364,0
364,1
364,10
365,6
365,7
365,8
365,2
366,6
366,7
366,8
366,2
366,9
366,10
367,16
367,13
367,17
367,11
367,4
368,0
368,16
368,11
368,4
369,1
369,7
369,8
370,0
370,7
370,16
371,7
371,10
372,0
372,16
372,13
372,11
372,4
373,7
373,13
373,10
374,16
374,4
375,1
375,6
375,7
375,8
376,1
376,11
376,3
377,13
377,14
377,18
378,0
378,1
378,7
378,4
379,0
379,1
379,7
379,2
380,13
380,10
381,0
381,16
381,4
382,1
382,6
382,7
382,8
382,2
383,13
383,2
383,10
384,0
384,13
384,4
385,7
385,13
385,20
